date,perc_taxes
2005-06-09,48.43%
2005-06-10,17.44%
2005-06-13,8.50%
2005-06-14,10.34%
2005-06-15,2.30%
2005-06-16,11.84%
2005-06-17,20.66%
2005-06-20,12.21%
2005-06-21,79.59%
2005-06-22,21.26%
2005-06-23,56.02%
2005-06-24,23.07%
2005-06-27,8.94%
2005-06-28,115.97%
2005-06-29,19.79%
2005-06-30,25.25%
2005-07-01,36.26%
2005-07-05,9.22%
2005-07-06,42.80%
2005-07-07,17.87%
2005-07-08,22.25%
2005-07-11,11.29%
2005-07-12,53.48%
2005-07-13,25.00%
2005-07-14,20.27%
2005-07-15,8.05%
2005-07-18,6.03%
2005-07-19,64.42%
2005-07-20,12.90%
2005-07-21,55.50%
2005-07-22,31.52%
2005-07-25,12.89%
2005-07-26,80.52%
2005-07-27,25.87%
2005-07-28,53.33%
2005-07-29,12.51%
2005-08-01,26.46%
2005-08-02,36.27%
2005-08-03,19.09%
2005-08-04,45.12%
2005-08-05,23.74%
2005-08-08,10.20%
2005-08-09,74.93%
2005-08-10,18.05%
2005-08-11,40.09%
2005-08-12,14.78%
2005-08-15,6.52%
2005-08-16,15.63%
2005-08-17,20.71%
2005-08-18,60.15%
2005-08-19,18.95%
2005-08-22,12.37%
2005-08-23,104.78%
2005-08-24,29.60%
2005-08-25,48.60%
2005-08-26,22.03%
2005-08-29,9.32%
2005-08-30,101.97%
2005-08-31,18.66%
2005-09-01,53.67%
2005-09-02,13.17%
2005-09-06,11.21%
2005-09-07,54.28%
2005-09-08,22.57%
2005-09-09,22.67%
2005-09-12,8.75%
2005-09-13,46.10%
2005-09-14,10.77%
2005-09-15,1.21%
2005-09-16,8.10%
2005-09-19,9.82%
2005-09-20,54.83%
2005-09-21,19.19%
2005-09-22,61.29%
2005-09-23,23.76%
2005-09-26,11.73%
2005-09-27,80.33%
2005-09-28,26.36%
2005-09-29,17.32%
2005-09-30,77.05%
2005-10-03,5.22%
2005-10-04,59.17%
2005-10-05,17.99%
2005-10-06,47.97%
2005-10-07,18.88%
2005-10-11,12.02%
2005-10-12,43.00%
2005-10-13,24.74%
2005-10-14,12.77%
2005-10-17,4.41%
2005-10-18,55.06%
2005-10-19,18.94%
2005-10-20,61.85%
2005-10-21,22.44%
2005-10-24,13.49%
2005-10-25,92.98%
2005-10-26,22.42%
2005-10-27,48.65%
2005-10-28,15.93%
2005-10-31,8.22%
2005-11-01,53.66%
2005-11-02,18.74%
2005-11-03,45.34%
2005-11-04,13.28%
2005-11-07,9.96%
2005-11-08,78.60%
2005-11-09,18.42%
2005-11-10,30.75%
2005-11-14,7.62%
2005-11-15,18.24%
2005-11-16,13.45%
2005-11-17,56.07%
2005-11-18,17.25%
2005-11-21,11.83%
2005-11-22,98.98%
2005-11-23,24.58%
2005-11-25,13.48%
2005-11-28,16.63%
2005-11-29,45.86%
2005-11-30,26.23%
2005-12-01,50.88%
2005-12-02,15.35%
2005-12-05,10.89%
2005-12-06,68.40%
2005-12-07,14.57%
2005-12-08,43.03%
2005-12-09,11.48%
2005-12-12,5.64%
2005-12-13,48.33%
2005-12-14,10.42%
2005-12-15,1.54%
2005-12-16,6.87%
2005-12-19,8.26%
2005-12-20,47.39%
2005-12-21,14.68%
2005-12-22,33.79%
2005-12-23,12.23%
2005-12-27,8.11%
2005-12-28,53.05%
2005-12-29,13.80%
2005-12-30,10.21%
2006-01-03,29.29%
2006-01-04,35.36%
2006-01-05,16.78%
2006-01-06,17.57%
2006-01-09,9.64%
2006-01-10,26.16%
2006-01-11,18.37%
2006-01-12,52.09%
2006-01-13,11.22%
2006-01-17,3.97%
2006-01-18,26.63%
2006-01-19,19.54%
2006-01-20,25.36%
2006-01-23,10.87%
2006-01-24,83.49%
2006-01-25,21.65%
2006-01-26,36.91%
2006-01-27,14.08%
2006-01-30,8.29%
2006-01-31,26.05%
2006-02-01,52.02%
2006-02-02,25.02%
2006-02-03,12.40%
2006-02-06,9.00%
2006-02-07,65.48%
2006-02-08,27.72%
2006-02-09,37.14%
2006-02-10,14.59%
2006-02-13,6.55%
2006-02-14,29.83%
2006-02-15,8.40%
2006-02-16,7.67%
2006-02-17,16.54%
2006-02-21,9.54%
2006-02-22,69.97%
2006-02-23,23.95%
2006-02-24,20.49%
2006-02-27,8.69%
2006-02-28,28.33%
2006-03-01,51.08%
2006-03-02,23.91%
2006-03-03,12.93%
2006-03-06,7.89%
2006-03-07,67.10%
2006-03-08,21.41%
2006-03-09,47.39%
2006-03-10,15.40%
2006-03-13,6.01%
2006-03-14,18.67%
2006-03-15,2.99%
2006-03-16,7.54%
2006-03-17,19.24%
2006-03-20,11.56%
2006-03-21,63.54%
2006-03-22,23.17%
2006-03-23,55.25%
2006-03-24,19.96%
2006-03-27,8.79%
2006-03-28,105.52%
2006-03-29,16.99%
2006-03-30,52.22%
2006-03-31,116.71%
2006-04-03,5.39%
2006-04-04,47.38%
2006-04-05,16.34%
2006-04-06,44.54%
2006-04-07,17.60%
2006-04-10,9.49%
2006-04-11,53.50%
2006-04-12,15.90%
2006-04-13,20.75%
2006-04-14,6.59%
2006-04-17,1.58%
2006-04-18,29.65%
2006-04-19,17.42%
2006-04-20,56.67%
2006-04-21,23.06%
2006-04-24,11.35%
2006-04-25,96.30%
2006-04-26,19.71%
2006-04-27,53.04%
2006-04-28,12.55%
2006-05-01,43.74%
2006-05-02,30.12%
2006-05-03,17.74%
2006-05-04,56.79%
2006-05-05,18.41%
2006-05-08,8.88%
2006-05-09,96.73%
2006-05-10,18.46%
2006-05-11,40.15%
2006-05-12,14.71%
2006-05-15,4.70%
2006-05-16,14.13%
2006-05-17,25.13%
2006-05-18,68.92%
2006-05-19,17.89%
2006-05-22,11.34%
2006-05-23,109.85%
2006-05-24,25.29%
2006-05-25,50.04%
2006-05-26,15.37%
2006-05-30,11.00%
2006-05-31,37.43%
2006-06-01,74.43%
2006-06-02,16.01%
2006-06-05,9.85%
2006-06-06,68.63%
2006-06-07,14.00%
2006-06-08,51.75%
2006-06-09,18.66%
2006-06-12,9.31%
2006-06-13,31.18%
2006-06-14,9.75%
2006-06-15,1.83%
2006-06-16,8.63%
2006-06-19,10.15%
2006-06-20,78.27%
2006-06-21,18.29%
2006-06-22,71.03%
2006-06-23,20.97%
2006-06-26,12.11%
2006-06-27,73.02%
2006-06-28,26.04%
2006-06-29,30.53%
2006-06-30,136.51%
2006-07-03,5.03%
2006-07-05,29.48%
2006-07-06,18.96%
2006-07-07,28.83%
2006-07-10,10.41%
2006-07-11,58.26%
2006-07-12,22.33%
2006-07-13,52.65%
2006-07-14,11.63%
2006-07-17,3.79%
2006-07-18,47.66%
2006-07-19,10.82%
2006-07-20,56.43%
2006-07-21,21.98%
2006-07-24,12.64%
2006-07-25,91.05%
2006-07-26,23.03%
2006-07-27,59.66%
2006-07-28,16.45%
2006-07-31,7.61%
2006-08-01,101.42%
2006-08-02,20.10%
2006-08-03,44.98%
2006-08-04,20.68%
2006-08-07,9.69%
2006-08-08,68.75%
2006-08-09,22.03%
2006-08-10,47.88%
2006-08-11,21.38%
2006-08-14,7.34%
2006-08-15,15.51%
2006-08-16,9.18%
2006-08-17,43.70%
2006-08-18,17.75%
2006-08-21,11.98%
2006-08-22,105.61%
2006-08-23,28.45%
2006-08-24,74.88%
2006-08-25,22.02%
2006-08-28,9.04%
2006-08-29,42.71%
2006-08-30,22.06%
2006-08-31,28.95%
2006-09-01,76.41%
2006-09-05,8.24%
2006-09-06,46.65%
2006-09-07,18.08%
2006-09-08,19.77%
2006-09-11,8.76%
2006-09-12,48.56%
2006-09-13,17.49%
2006-09-14,10.23%
2006-09-15,1.28%
2006-09-18,5.52%
2006-09-19,50.41%
2006-09-20,19.92%
2006-09-21,60.64%
2006-09-22,23.11%
2006-09-25,4.95%
2006-09-26,16.04%
2006-09-27,5.10%
2006-09-28,12.60%
2006-09-29,2.01%
2006-10-02,48.19%
2006-10-03,155.62%
2006-10-04,38.74%
2006-10-05,37.40%
2006-10-06,17.56%
2006-10-10,10.95%
2006-10-11,61.76%
2006-10-12,27.12%
2006-10-13,15.36%
2006-10-16,3.79%
2006-10-17,40.66%
2006-10-18,19.95%
2006-10-19,69.17%
2006-10-20,26.96%
2006-10-24,110.36%
2006-10-25,22.32%
2006-10-26,44.18%
2006-10-27,15.06%
2006-10-30,10.28%
2006-10-31,29.88%
2006-11-01,72.14%
2006-11-02,29.96%
2006-11-03,15.52%
2006-11-06,8.79%
2006-11-07,81.63%
2006-11-08,18.15%
2006-11-09,43.17%
2006-11-10,22.76%
2006-11-13,9.00%
2006-11-14,29.31%
2006-11-15,12.53%
2006-11-16,13.65%
2006-11-17,23.98%
2006-11-20,9.68%
2006-11-21,70.92%
2006-11-22,21.09%
2006-11-24,14.06%
2006-11-27,13.85%
2006-11-28,101.77%
2006-11-29,24.23%
2006-11-30,36.24%
2006-12-01,75.62%
2006-12-04,8.06%
2006-12-05,67.94%
2006-12-06,15.89%
2006-12-07,43.64%
2006-12-08,11.92%
2006-12-11,5.71%
2006-12-12,41.88%
2006-12-13,18.63%
2006-12-14,11.04%
2006-12-15,1.84%
2006-12-18,3.88%
2006-12-19,48.53%
2006-12-20,14.43%
2006-12-21,28.28%
2006-12-22,15.66%
2006-12-26,6.74%
2006-12-27,52.67%
2006-12-28,19.45%
2006-12-29,10.74%
2007-01-02,32.08%
2007-01-03,33.01%
2007-01-04,16.17%
2007-01-05,17.40%
2007-01-08,9.00%
2007-01-09,25.34%
2007-01-10,19.33%
2007-01-11,36.89%
2007-01-12,11.90%
2007-01-16,2.98%
2007-01-17,25.64%
2007-01-18,19.31%
2007-01-19,22.12%
2007-01-22,11.14%
2007-01-23,68.46%
2007-01-24,21.45%
2007-01-25,55.84%
2007-01-26,16.47%
2007-01-29,6.57%
2007-01-30,69.59%
2007-01-31,12.61%
2007-02-01,69.91%
2007-02-02,13.32%
2007-02-05,8.39%
2007-02-06,46.39%
2007-02-07,16.56%
2007-02-08,46.29%
2007-02-09,18.55%
2007-02-12,7.47%
2007-02-13,74.95%
2007-02-14,12.63%
2007-02-15,12.14%
2007-02-16,7.40%
2007-02-20,8.71%
2007-02-21,51.06%
2007-02-22,24.47%
2007-02-23,17.80%
2007-02-26,8.16%
2007-02-27,47.79%
2007-02-28,15.47%
2007-03-01,65.88%
2007-03-02,12.80%
2007-03-05,7.52%
2007-03-06,46.84%
2007-03-07,16.78%
2007-03-08,39.59%
2007-03-09,16.76%
2007-03-12,6.08%
2007-03-13,45.71%
2007-03-14,9.03%
2007-03-15,2.73%
2007-03-16,5.78%
2007-03-19,9.71%
2007-03-20,57.14%
2007-03-21,20.48%
2007-03-22,66.61%
2007-03-23,20.52%
2007-03-26,8.92%
2007-03-27,81.49%
2007-03-28,22.22%
2007-03-29,27.98%
2007-03-30,150.07%
2007-04-02,4.25%
2007-04-03,46.89%
2007-04-04,16.52%
2007-04-05,46.82%
2007-04-06,15.62%
2007-04-09,8.60%
2007-04-10,66.71%
2007-04-11,15.40%
2007-04-12,34.51%
2007-04-13,8.43%
2007-04-16,3.03%
2007-04-17,3.42%
2007-04-18,28.79%
2007-04-19,22.68%
2007-04-20,22.56%
2007-04-23,9.73%
2007-04-24,96.47%
2007-04-25,20.81%
2007-04-26,40.30%
2007-04-27,15.17%
2007-04-30,6.53%
2007-05-01,90.14%
2007-05-02,16.82%
2007-05-03,45.40%
2007-05-04,13.84%
2007-05-07,8.36%
2007-05-08,73.91%
2007-05-09,18.87%
2007-05-10,42.49%
2007-05-11,20.74%
2007-05-14,7.14%
2007-05-15,10.84%
2007-05-16,11.14%
2007-05-17,57.45%
2007-05-18,18.52%
2007-05-21,10.01%
2007-05-22,105.69%
2007-05-23,24.39%
2007-05-24,67.63%
2007-05-25,22.39%
2007-05-29,7.85%
2007-05-30,86.94%
2007-05-31,15.52%
2007-06-01,65.97%
2007-06-04,6.92%
2007-06-05,65.64%
2007-06-06,12.86%
2007-06-07,43.55%
2007-06-08,18.33%
2007-06-11,7.10%
2007-06-12,30.26%
2007-06-13,16.68%
2007-06-14,10.80%
2007-06-15,1.68%
2007-06-18,4.91%
